,NewGenPopulation,NewGenOrange,NewGenYellow,NewGenBlue,TotalPop,TotalOrange,TotalYellow,TotalBlue,ShareOrange,ShareYellow,ShareBlue,BestStrategy,Pred_O,Pred_Y,Pred_B
174,3375,3120,215,40,10322,9473.0,483.0,366.0,0.9177484983530324,0.04679325712071304,0.0354582445262546,Orange,,,
175,3258,2944,296,18,10111,9295.0,669.0,147.0,0.9192958164375433,0.06616556225892592,0.014538621303530808,Orange,,,
176,3259,2835,415,9,9892,8899.0,926.0,67.0,0.8996158511928831,0.0936109987868985,0.006773150020218359,Orange,,,
177,3261,2683,568,10,9778,8462.0,1279.0,37.0,0.8654121497238699,0.13080384536715076,0.0037840049089793415,Orange,,,
178,3308,2487,799,22,9828,8005.0,1782.0,41.0,0.8145095645095645,0.1813186813186813,0.004171754171754171,Orange,,,
179,3278,2173,1079,26,9847,7343.0,2446.0,58.0,0.7457093531024678,0.24840052807961815,0.005890118817914085,Orange,,,
180,3282,1824,1418,40,9868,6484.0,3296.0,88.0,0.6570733684637211,0.33400891771382246,0.008917713822456425,Orange,,,
181,3291,1440,1809,42,9851,5437.0,4306.0,108.0,0.5519236625723277,0.4371129834534565,0.010963353974215816,Yellow,,,
182,3329,1062,2215,52,9902,4326.0,5442.0,134.0,0.4368814380933145,0.5495859422338921,0.013532619672793376,Yellow,,,
183,3405,687,2631,87,10025,3189.0,6655.0,181.0,0.3181047381546135,0.6638403990024938,0.018054862842892767,Yellow,,,
184,3472,403,2975,94,10206,2152.0,7821.0,233.0,0.21085635900450717,0.7663139329805997,0.0228297080148932,Yellow,,,
185,3431,182,3121,128,10308,1272.0,8727.0,309.0,0.12339930151338765,0.8466239813736903,0.029976717112922,Yellow,,,
186,3430,82,3174,174,10333,667.0,9270.0,396.0,0.06455046936997967,0.897125713732701,0.03832381689731927,Yellow,,,
187,3364,32,3094,238,10225,296.0,9389.0,540.0,0.028948655256723715,0.918239608801956,0.05281173594132029,Yellow,,,
188,3286,13,2934,339,10080,127.0,9202.0,751.0,0.01259920634920635,0.9128968253968254,0.07450396825396825,Yellow,,,
189,3284,2,2819,463,9934,47.0,8847.0,1040.0,0.0047312260922085765,0.8905778135695591,0.10469096033823233,Yellow,,,
190,3282,15,2618,649,9852,30.0,8371.0,1451.0,0.0030450669914738123,0.8496751928542428,0.14727974015428338,Yellow,,,
191,3272,24,2362,886,9838,41.0,7799.0,1998.0,0.004167513722301281,0.7927424273226266,0.20309005895507218,Yellow,,,
192,3297,27,2090,1180,9851,66.0,7070.0,2715.0,0.0066998274286874425,0.7176936351639428,0.2756065374073698,Yellow,,,
193,3262,40,1660,1562,9831,91.0,6112.0,3628.0,0.009256433730037636,0.6217068456921981,0.3690367205777642,Yellow,,,
194,3307,58,1331,1918,9866,125.0,5081.0,4660.0,0.01266977498479627,0.5150010135819988,0.47232921143320494,Blue,,,
195,3329,52,916,2361,9898,150.0,3907.0,5841.0,0.015154576682158012,0.394726207314609,0.590119216003233,Blue,,,
196,3340,84,541,2715,9976,194.0,2788.0,6994.0,0.019446672012830794,0.27947072975140336,0.7010825982357658,Blue,,,
197,3321,110,308,2903,9990,246.0,1765.0,7979.0,0.024624624624624624,0.17667667667667666,0.7986986986986987,Blue,,,
198,3332,136,128,3068,9993,330.0,977.0,8686.0,0.03302311618132693,0.09776843790653457,0.8692084459121385,Blue,,,
199,3340,195,54,3091,9993,441.0,490.0,9062.0,0.04413089162413689,0.049034324026818774,0.9068347843490443,Blue,,,
200,3307,279,16,3012,9979,610.0,198.0,9171.0,0.06112836957610983,0.019841667501753684,0.9190299629221365,Blue,,,
201,3269,383,12,2874,9916,857.0,82.0,8977.0,0.086425978217023,0.00826946349334409,0.905304558289633,Blue,,,
202,3247,537,12,2698,9823,1199.0,40.0,8584.0,0.12206047032474804,0.004072075740608775,0.8738674539346432,Blue,,,
203,3238,732,18,2488,9754,1652.0,42.0,8060.0,0.16936641377896247,0.004305925774041419,0.8263276604469961,Blue,,,
204,3222,996,14,2212,9707,2265.0,44.0,7398.0,0.23333676728134337,0.004532811373235809,0.7621304213454209,Blue,,,
205,3224,1306,34,1884,9684,3034.0,66.0,6584.0,0.31330028913672037,0.006815365551425031,0.6798843453118546,Blue,,,
206,3247,1685,30,1532,9693,3987.0,78.0,5628.0,0.4113277623026927,0.008047044258743422,0.5806251934385639,Orange,,,
207,3263,2106,36,1121,9734,5097.0,100.0,4537.0,0.5236285185946168,0.01027326895418122,0.466098212451202,Orange,,,
208,3291,2482,77,732,9801,6273.0,143.0,3385.0,0.6400367309458218,0.014590347923681257,0.3453729211304969,Orange,,,
209,3300,2771,89,440,9854,7359.0,202.0,2293.0,0.7468033285975239,0.02049928962857723,0.23269738177389893,Orange,,,
